group,sentence,top1_train,top1_sim,top2_train,top2_sim,top3_train,top3_sim
A_creative,"il pesce dorme nella cucina","Il supermercato ha tutto per la cucina",0.390671,"Il pesce nuota nel fiume limpido",0.374437,"Il cucciolo gioca con il bambino",0.348940
A_creative,"il programmatore cucina la pasta","La nonna cucina la torta di mele",0.637150,"La ragazza cucina la pasta per gli amici",0.593299,"Il bambino mangia la pasta con il sugo",0.548711
A_creative,"il gatto scrive un programma","Il dentista cura i denti dei pazienti",0.089774,"Il gatto si lava le zampe con cura",0.079019,"Il cielo sereno promette una bella giornata",0.068572
A_creative,"la nonna insegue il cane","Il gatto insegue la farfalla nel giardino",0.312820,"La nonna cucina la torta di mele",0.300598,"La nonna mangia la frutta ogni mattina",0.255028
A_creative,"il sole mangia la neve","Il contadino lavora sotto il sole cocente",0.552995,"Il cane corre nella neve fresca e soffice",0.460493,"Il bambino gioca sotto la pioggia leggera",0.444907
A_creative,"il cuoco programma il computer","Il micio beve l'acqua dalla fontana",0.088645,"Il gelato si scioglie al sole estivo",0.083824,"Il ragazzo beve il succo di arancia",0.079239
A_creative,"la pioggia cucina la cena","La mamma cucina la cena per la famiglia",0.594867,"La trattoria cucina ricette della nonna",0.332798,"La pioggia cade forte sulle strade",0.319232
A_creative,"il bambino guida il treno","Il lupo corre nella foresta oscura",0.100207,"Lo sciatore scende dalla montagna innevata",0.088252,"Il cuoco prepara il piatto del giorno",0.078987
A_creative,"il nonno nuota nel cielo","Il nonno beve il vino rosso a tavola",0.437827,"Il gatto salta sul tavolo della cucina",0.338569,"Il cane nuota nel lago profondo",0.337851
A_creative,"il vento dorme sul divano","Il gatto dorme sul divano",0.696540,"Il felino dorme sul divano morbido",0.594789,"Il cucciolo dorme nella cuccia calda",0.519266
B_close,"il gatto dorme nel giardino","Il gatto dorme sul divano",0.672049,"Il gatto dorme sulla sedia della nonna",0.639138,"Il felino corre nel giardino",0.572795
B_close,"il cane corre nel prato","Il cane corre nel parco grande",0.580411,"Il cane nuota nel lago profondo",0.532585,"Il gatto corre veloce nel prato",0.527114
B_close,"la mamma prepara il pranzo","La mamma assaggia la minestra calda",0.553256,"Il papà prepara la colazione per tutti",0.461217,"Il ragazzo prepara il panino per pranzo",0.439970
B_close,"il sole splende forte","Il sole splende nel cielo azzurro",0.740736,"Il vento soffia forte tra gli alberi",0.494838,"La pioggia cade forte sulle strade",0.458968
B_close,"il bambino gioca nel cortile","Il gatto dorme sul divano",0.691873,"Il gatto corre veloce nel prato",0.615736,"Il bambino gioca sotto la pioggia leggera",0.519118
B_close,"il cuoco cucina il pesce","Il nonno cucina il pesce alla griglia",0.566293,"Il cuoco mangia il piatto che ha preparato",0.523735,"La nonna cucina la torta di mele",0.483256
B_close,"la nonna racconta una storia","La nonna cucina la torta di mele",0.318015,"La nonna mangia la frutta ogni mattina",0.306513,"L'autista guida l'autobus per la città",0.196095
B_close,"il vento soffia nel parco","Il vento soffia forte tra gli alberi",0.668651,"Il vento porta le foglie lungo la strada",0.407078,"Il vento freddo del nord porta la neve",0.398412
B_close,"il programmatore lavora al progetto","Il programmatore corre nel parco dopo il lavoro",0.477216,"Il cuoco lavora nel ristorante del centro",0.420409,"Il team lavora insieme al progetto importante",0.402948
B_close,"la pioggia cade leggera","La pioggia cade forte sulle strade",0.568720,"La pioggia bagna i fiori del giardino",0.532476,"Il vento freddo del nord porta la neve",0.233892
C_chomsky,"le idee verdi dormono furiosamente","Il ricercatore pubblica i risultati dello studio",0.072634,"La temperatura sale durante il giorno",0.070304,"Le stelle brillano nel cielo limpido",0.055305
C_chomsky,"la matematica viola corre veloce","Il turista gode il sole sulla spiaggia",0.079359,"La mamma assaggia la minestra calda",0.073135,"La tromba d'aria solleva gli oggetti in alto",0.072483
C_chomsky,"il silenzio azzurro mangia il tempo","La dieta mediterranea è molto salutare",0.089595,"L'alluvione allaga le strade della città",0.077768,"Il micio beve l'acqua dalla fontana",0.062734
C_chomsky,"la tristezza rotonda nuota nel pensiero","L'olio d'oliva condisce l'insalata verde",0.100034,"Il riso bolle nell'acqua salata",0.095178,"L'autunno colora le foglie di rosso e giallo",0.090030
C_chomsky,"il coraggio liquido dorme sul nulla","Il tuono rimbomba nella valle profonda",0.067928,"Il cielo sereno promette una bella giornata",0.061673,"La ragazza cucina la pasta per gli amici",0.059928
