scenario_id,difficulty,initial_coherence,cycles_used,max_cycles,final_score,outcome,best_source
A00,easy,0.7827,1,3,0.9441,Achieved,Attraction(α=0.50)
A01,easy,0.8890,1,2,0.9719,Achieved,Attraction(α=0.50)
A02,easy,0.7914,1,3,0.9464,Achieved,Attraction(α=0.50)
A03,easy,0.8382,1,2,0.9587,Achieved,Attraction(α=0.50)
A04,easy,0.8671,1,2,0.9662,Achieved,Attraction(α=0.50)
A05,easy,0.8845,1,2,0.9707,Achieved,Attraction(α=0.50)
A06,easy,0.8766,1,2,0.9687,Achieved,Attraction(α=0.50)
A07,easy,0.7830,1,3,0.9442,Achieved,Attraction(α=0.50)
A08,easy,0.7428,1,3,0.9335,Achieved,Attraction(α=0.50)
A09,easy,0.8459,1,2,0.9607,Achieved,Attraction(α=0.50)
A10,medium,0.5485,1,6,0.8799,Achieved,Attraction(α=0.50)
A11,medium,0.4046,2,7,0.9587,Achieved,Attraction(α=0.50)
A12,medium,0.6666,1,4,0.9128,Achieved,Attraction(α=0.50)
A13,medium,0.5861,1,5,0.8905,Achieved,Attraction(α=0.50)
A14,medium,0.4526,1,7,0.8522,Achieved,Attraction(α=0.50)
A15,medium,0.4126,2,7,0.9593,Achieved,Attraction(α=0.50)
A16,medium,0.6463,1,4,0.9073,Achieved,Attraction(α=0.50)
A17,medium,0.5713,1,5,0.8864,Achieved,Attraction(α=0.50)
A18,medium,0.4174,2,7,0.9597,Achieved,Attraction(α=0.50)
A19,medium,0.5799,1,5,0.8888,Achieved,Attraction(α=0.50)
A20,hard,0.2964,2,8,0.9500,Achieved,Attraction(α=0.50)
A21,hard,0.0883,2,11,0.9321,Achieved,Attraction(α=0.50)
A22,hard,0.1401,2,10,0.9368,Achieved,Attraction(α=0.50)
A23,hard,0.1642,2,10,0.9389,Achieved,Attraction(α=0.50)
A24,hard,0.0902,2,11,0.9323,Achieved,Attraction(α=0.50)
A25,hard,0.2474,2,9,0.9460,Achieved,Attraction(α=0.50)
A26,hard,0.0745,2,11,0.9308,Achieved,Attraction(α=0.50)
A27,hard,0.1495,2,10,0.9376,Achieved,Attraction(α=0.50)
A28,hard,0.3640,2,8,0.9555,Achieved,Attraction(α=0.50)
A29,hard,0.2356,2,9,0.9450,Achieved,Attraction(α=0.50)
